,Tokens,Index
0,<PAD>,0
1,<SOS>,1
2,<EOS>,2
3,<UNK>,3
4,headgear,4
5,bouncy,5
6,mattress,6
7,monitoring,7
8,looms,8
9,beam,9
10,wristband,10
11,pauses,11
12,crowns,12
13,kiosk,13
14,laptops,14
15,suspended,15
16,necklace,16
17,israei,17
18,link,18
19,terrior,19
20,staffordshire,20
21,spain,21
22,hawaiian,22
23,enjoyable,23
24,caribbean,24
25,racedog,25
26,gelled,26
27,duke,27
28,clump,28
29,minirace,29
30,fooling,30
31,protectors,31
32,almostpristine,32
33,venice,33
34,terrain,34
35,sunset,35
36,midway,36
37,so,37
38,sprint,38
39,dolphins,39
40,jack,40
41,cruiser,41
42,embroidered,42
43,sillhouttes,43
44,loaves,44
45,caution,45
46,bartender,46
47,smile,47
48,level,48
49,depicting,49
50,aquatic,50
51,fuzzy,51
52,lined,52
53,enjoy,53
54,stretches,54
55,thinks,55
56,cord,56
57,bigg,57
58,long,58
59,catching,59
60,progressively,60
61,kissing,61
62,thank,62
63,inch,63
64,popping,64
65,swatted,65
66,spike,66
67,occupied,67
68,attack,68
69,positions,69
70,complex,70
71,brandishes,71
72,excercise,72
73,trekking,73
74,relaxing,74
75,ropeswinging,75
76,softdrinks,76
77,degrees,77
78,handrailing,78
79,cutouts,79
80,squirrel,80
81,marches,81
82,anouther,82
83,pumpkins,83
84,sleddog,84
85,locker,85
86,greenpeace,86
87,spreading,87
88,views,88
89,wrapped,89
90,meet,90
91,striding,91
92,scrap,92
93,bunchh,93
94,ties,94
95,appear,95
96,effects,96
97,mills,97
98,selfportrait,98
99,hp,99
100,railing,100
101,route,101
102,decoration,102
103,into,103
104,nibbling,104
105,entrance,105
106,strapped,106
107,oppose,107
108,rodeo,108
109,angels,109
110,shops,110
111,studded,111
112,presenting,112
113,sweeping,113
114,narrow,114
115,buffalo,115
116,messenger,116
117,thre,117
118,fedora,118
119,pilings,119
120,sponges,120
121,chef,121
122,aboveground,122
123,masked,123
124,apartment,124
125,rosy,125
126,us,126
127,rush,127
128,pursing,128
129,weimaraner,129
130,verizon,130
131,chess,131
132,widely,132
133,pillar,133
134,shews,134
135,amphitheater,135
136,sweatband,136
137,distorted,137
138,building,138
139,really,139
140,damp,140
141,hilltops,141
142,elaborate,142
143,pick,143
144,bared,144
145,ponchos,145
146,graffitifilled,146
147,cold,147
148,pinstriped,148
149,exercising,149
150,gushing,150
151,playing,151
152,tireswing,152
153,horse,153
154,containers,154
155,gal,155
156,fingers,156
157,candidate,157
158,board,158
159,mortar,159
160,allow,160
161,midrun,161
162,teammates,162
163,suds,163
164,americans,164
165,flipflops,165
166,sprinkler,166
167,cartwheel,167
168,sweater,168
169,brunette,169
170,guardsman,170
171,greyishbrown,171
172,padded,172
173,sail,173
174,sandpit,174
175,starbuck,175
176,they,176
177,bystander,177
178,collects,178
179,attraction,179
180,fierce,180
181,placid,181
182,prom,182
183,chewing,183
184,squinting,184
185,last,185
186,trying,186
187,interviewed,187
188,course,188
189,cropped,189
190,mossy,190
191,scare,191
192,muslim,192
193,budweiser,193
194,bras,194
195,napping,195
196,candles,196
197,cries,197
198,diverse,198
199,vfw,199
200,tropical,200
201,similarly,201
202,whom,202
203,steal,203
204,breezeway,204
205,s,205
206,panties,206
207,streetlights,207
208,prevent,208
209,all,209
210,needlepoint,210
211,automobiles,211
212,cavorts,212
213,throws,213
214,supplies,214
215,above,215
216,croquette,216
217,dump,217
218,furnace,218
219,washing,219
220,look,220
221,saxaphones,221
